epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4602,1.51441,1.76734,1.17783,0.61079,0.46763,0.56208,0.31819,1.57808,2.15167,1.33311,0.0675789,0.000327485,0.000327485
2,37.2076,1.4162,0.97299,1.13377,0.78231,0.73601,0.81744,0.48379,1.39174,1.19062,1.22322,0.0345776,0.00065951,0.00065951
3,54.0486,1.39164,0.89815,1.13346,0.7788,0.68441,0.76333,0.4626,1.41311,1.03738,1.22045,0.00157501,0.000990215,0.000990215
4,70.8473,1.38579,0.86953,1.13348,0.81594,0.73441,0.83091,0.5077,1.33864,0.88117,1.19035,0.00099406,0.00099406,0.00099406
5,87.6663,1.35941,0.8333,1.12885,0.83666,0.76566,0.85252,0.5318,1.31143,0.81754,1.17654,0.00099208,0.00099208,0.00099208
6,104.394,1.35322,0.81772,1.12484,0.82529,0.77372,0.84237,0.5164,1.3062,0.84667,1.16879,0.0009901,0.0009901,0.0009901
7,121.224,1.34706,0.80328,1.11963,0.86796,0.78078,0.86373,0.5444,1.30638,0.77014,1.17154,0.00098812,0.00098812,0.00098812
8,138.193,1.34447,0.79505,1.11731,0.85738,0.79018,0.87347,0.54232,1.29694,0.77928,1.14734,0.00098614,0.00098614,0.00098614
9,155.068,1.32499,0.77636,1.11618,0.87351,0.79352,0.87889,0.55307,1.26476,0.74854,1.15265,0.00098416,0.00098416,0.00098416
10,171.998,1.33102,0.77498,1.10943,0.83237,0.79648,0.86464,0.54656,1.2547,0.86642,1.15705,0.00098218,0.00098218,0.00098218
11,188.785,1.32292,0.76919,1.11327,0.88522,0.80072,0.88656,0.56648,1.24733,0.72198,1.13036,0.0009802,0.0009802,0.0009802
12,205.682,1.31179,0.75252,1.10456,0.87757,0.79918,0.89063,0.56149,1.25894,0.7498,1.14099,0.00097822,0.00097822,0.00097822
13,222.289,1.30636,0.75278,1.10658,0.85716,0.81491,0.88538,0.55885,1.24159,0.73376,1.1254,0.00097624,0.00097624,0.00097624
14,239.144,1.31772,0.75376,1.1027,0.86973,0.80543,0.88508,0.56791,1.25378,0.72503,1.14918,0.00097426,0.00097426,0.00097426
15,255.933,1.30753,0.74845,1.10558,0.88304,0.82632,0.9047,0.58598,1.20904,0.67222,1.11341,0.00097228,0.00097228,0.00097228
16,272.825,1.30064,0.74246,1.10102,0.8884,0.81758,0.90535,0.58858,1.19965,0.65661,1.09738,0.0009703,0.0009703,0.0009703
17,289.676,1.29757,0.7359,1.10059,0.83876,0.72255,0.84812,0.53267,1.30114,0.86829,1.17909,0.00096832,0.00096832,0.00096832
18,306.519,1.30276,0.73598,1.10019,0.88337,0.82334,0.89895,0.59172,1.19668,0.6624,1.10598,0.00096634,0.00096634,0.00096634
19,323.295,1.28477,0.72275,1.09629,0.88973,0.81041,0.89627,0.57645,1.2219,0.6743,1.12085,0.00096436,0.00096436,0.00096436
20,340.002,1.29622,0.72755,1.09661,0.86194,0.81538,0.88299,0.56974,1.24637,0.6869,1.12686,0.00096238,0.00096238,0.00096238
21,356.853,1.28598,0.72154,1.0929,0.89174,0.8347,0.90678,0.58879,1.22328,0.65637,1.11816,0.0009604,0.0009604,0.0009604
22,373.517,1.29373,0.72418,1.09386,0.89016,0.81865,0.90263,0.593,1.20654,0.68553,1.1064,0.00095842,0.00095842,0.00095842
23,390.358,1.28705,0.71761,1.09199,0.8822,0.815,0.89545,0.58381,1.19431,0.69257,1.10927,0.00095644,0.00095644,0.00095644
24,406.96,1.2906,0.71752,1.09262,0.87733,0.82485,0.89794,0.57858,1.23613,0.67273,1.1291,0.00095446,0.00095446,0.00095446
25,423.761,1.28634,0.71478,1.09032,0.89063,0.79895,0.89278,0.58532,1.2202,0.70182,1.10936,0.00095248,0.00095248,0.00095248
